Run,Method,Time (seconds)
6,MID | X | SPLINE,0.007723808
6,MID | X | SPLINE,0.00739789
6,MID | X | SPLINE,0.00733304
6,MID | X | SPLINE,0.007381916
6,MID | X | SPLINE,0.007189989
6,MID | X | SPLINE,0.007340908
6,MID | X | SPLINE,0.007496119
6,MID | X | SPLINE,0.007643223
6,MID | X | SPLINE,0.007596016
6,MID | X | SPLINE,0.007462025
6,MID | X | SPLINE,0.007555008
6,MID | X | SPLINE,0.007093906
6,MID | X | SPLINE,0.007743835
6,MID | X | SPLINE,0.007004023
6,MID | X | SPLINE,0.007571936
6,MID | X | SPLINE,0.007304907
6,MID | X | SPLINE,0.007612944
6,FULL | X | SPLINE,0.007269859
6,FULL | X | SPLINE,0.007215977
6,FULL | X | SPLINE,0.007351875
6,FULL | X | SPLINE,0.007135153
6,FULL | X | SPLINE,0.007359982
6,FULL | X | SPLINE,0.007126093
6,FULL | X | SPLINE,0.006991148
6,FULL | X | SPLINE,0.007341862
6,FULL | X | SPLINE,0.007050037
6,FULL | X | SPLINE,0.007429123
6,FULL | X | SPLINE,0.007078886
6,FULL | X | SPLINE,0.007506847
6,FULL | X | SPLINE,0.006920815
6,FULL | X | SPLINE,0.007371187
6,FULL | X | SPLINE,0.007301092
6,FULL | X | SPLINE,0.007278919
6,FULL | X | SPLINE,0.007428169
6,FULL | X | SPLINE,0.007117748
6,FULL | X | SPLINE,0.007525921
6,FULL | X | SPLINE,0.007375717
6,FULL | X | SPLINE,0.007164955
6,FULL | X | SPLINE,0.007641077
6,FULL | X | SPLINE,0.00701499
6,FULL | X | SPLINE,0.007740974
6,FULL | X | SPLINE,0.007043123
6,FULL | X | SPLINE,0.007386923
6,FULL | X | SPLINE,0.007349014
6,FULL | X | SPLINE,0.007205248
6,FULL | X | SPLINE,0.007599831
6,FULL | X | SPLINE,0.007525206
6,MID | X | PDE,0.007936716
6,MID | X | PDE,0.008103132
6,MID | X | PDE,0.007797003
6,MID | X | PDE,0.00780797
6,MID | X | PDE,0.007889032
6,MID | X | PDE,0.007797003
6,MID | X | PDE,0.007608175
6,MID | X | PDE,0.007906914
6,MID | X | PDE,0.00762105
6,MID | X | PDE,0.007424593
6,MID | X | PDE,0.007616997
6,MID | X | PDE,0.007759094
6,MID | X | PDE,0.00754118
6,MID | X | PDE,0.007633924
6,MID | X | PDE,0.007670164
6,MID | X | PDE,0.007530928
6,MID | X | PDE,0.00759697
6,MID | X | PDE,0.007717133
6,MID | X | PDE,0.007709026
6,MID | X | PDE,0.007779121
6,MID | X | PDE,0.007488966
6,MID | X | PDE,0.007551432
6,MID | X | PDE,0.007387161
6,MID | X | PDE,0.007790089
6,MID | X | PDE,0.007333994
6,MID | X | PDE,0.007811069
6,MID | X | PDE,0.007240295
6,MID | X | PDE,0.007714748
6,MID | X | PDE,0.007817268
6,MID | X | PDE,0.00767684
6,FULL | X | PDE,0.007512808
6,FULL | X | PDE,0.008069038
6,FULL | X | PDE,0.007647991
6,FULL | X | PDE,0.007544756
6,FULL | X | PDE,0.00769496
6,FULL | X | PDE,0.008324862
6,FULL | X | PDE,0.007597923
6,FULL | X | PDE,0.007383823
6,FULL | X | PDE,0.007297039
6,FULL | X | PDE,0.007119179
6,FULL | X | PDE,0.007556915
6,FULL | X | PDE,0.007405996
6,FULL | X | PDE,0.007375717
6,FULL | X | PDE,0.007771969
6,FULL | X | PDE,0.007248878
6,FULL | X | PDE,0.007334948
6,FULL | X | PDE,0.007107973
6,FULL | X | PDE,0.007852793
6,FULL | X | PDE,0.007290125
6,FULL | X | PDE,0.007768154
6,FULL | X | PDE,0.007513762
6,FULL | X | PDE,0.007582903
6,FULL | X | PDE,0.007492065
6,FULL | X | PDE,0.007213831
6,FULL | X | PDE,0.007505178
6,FULL | X | PDE,0.007154226
6,FULL | X | PDE,0.007322788
6,FULL | X | PDE,0.007701874
6,FULL | X | PDE,0.007238865
6,FULL | X | PDE,0.00752306
7,MID | X | SPLINE,0.007264137
7,MID | X | SPLINE,0.007721901
7,MID | X | SPLINE,0.007233143
7,MID | X | SPLINE,0.007642984
7,MID | X | SPLINE,0.007120132
7,MID | X | SPLINE,0.007666111
7,MID | X | SPLINE,0.007194757
7,MID | X | SPLINE,0.00742507
7,MID | X | SPLINE,0.007477045
7,MID | X | SPLINE,0.007073879
7,MID | X | SPLINE,0.007630825
7,MID | X | SPLINE,0.007250309
7,MID | X | SPLINE,0.007277727
7,MID | X | SPLINE,0.007312059
7,MID | X | SPLINE,0.007170916
7,MID | X | SPLINE,0.007594109
7,MID | X | SPLINE,0.007193089
7,MID | X | SPLINE,0.007468939
7,MID | X | SPLINE,0.007188082
7,MID | X | SPLINE,0.007557869
7,MID | X | SPLINE,0.007800102
7,MID | X | SPLINE,0.007466078
7,MID | X | SPLINE,0.007682085
7,MID | X | SPLINE,0.007495165
7,MID | X | SPLINE,0.007629871
7,MID | X | SPLINE,0.007505178
7,MID | X | SPLINE,0.007375002
7,MID | X | SPLINE,0.007276058
7,MID | X | SPLINE,0.007612944
7,MID | X | SPLINE,0.007760048
7,FULL | X | SPLINE,0.007310867
7,FULL | X | SPLINE,0.007720947
